bbl,rs_units_19,rs_units_20,rs_units_21,total_units_19,total_units_20,total_units_21,boro,cd,ct_10,year_built,bldg_class,rs_share_19,rs_share_20,rs_share_21
1007710034,5,5,5,20,20,20,1,104,0087,1920,C4,0.25,0.25,0.25
1007710063,9,9,9,24,24,24,1,104,0087,1920,C4,0.375,0.375,0.375
1007730134,167,167,167,180,180,180,1,104,0091,2002,D9,0.9277777777777778,0.9277777777777778,0.9277777777777778
1007750017,16,0,0,69,69,69,1,104,0091,1961,D1,0.2318840579710145,0,0
1007760020,0,24,0,26,26,26,1,105,0095,1925,D9,0,0.9230769230769231,0
1007920028,5,4,4,83,83,83,1,104,0081,1925,D4,0.060240963855421686,0.04819277108433735,0.04819277108433735
1008020045,1,1,1,8,8,8,1,105,0095,1905,C7,0.125,0.125,0.125
1008180021,6,6,6,10,10,10,1,105,0054,1920,C5,0.6,0.6,0.6
1008230075,1,1,1,1,1,1,1,105,0058,1853,O5,1,1,1
1008300053,6,6,6,8,8,8,1,105,0076,1910,C7,0.75,0.75,0.75
1008410014,6,6,0,6,6,6,1,105,0084,1925,S9,1,1,0
